hire_date,is_manager,gender,ethnicity,crosschq_asmt_score,crosschq_ref_score,crosschq_references_fraud,age_at_hire,was_referral,terminated_in_first_6_months,strengths_1,strengths_2,Strengths_3,Strengths_4,Strengths_5,Strengths_6,Strengths_7,Strengths_8,Strengths_9,Strengths_10,Strengths_11,Strengths_12,Strengths_13,Strengths_14,Strengths_15,Strengths_16,Strengths_17,Weakness_1,Weakness_2,Weakness_3,Weakness_4,Weakness_5,Weakness_6,Weakness_7,Weakness_8,Weakness_9,Weakness_10,compared_to_others_1,compared_to_others_2,compared_to_others_3,compared_to_others_4,compared_to_others_5,compared_to_others_6,compared_to_others_7,compared_to_others_8,compared_to_others_9
2020-08-24,False,male,Other,3.94,4.78,False,34.2157604955265,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4
2020-08-31,False,male,Other,3.89,4.61,False,34.2157604955265,False,False,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,4,4,3,4,4,4,3,4
2020-09-08,False,female,White/Caucasian,3.33,4.54,False,34.2157604955265,False,False,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,4,4,4,2,4,4,4
2020-09-18,False,male,Other,4.28,4.13,False,34.2157604955265,False,False,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,5,5,5,4,4,4,5
2020-09-18,False,male,White/Caucasian,4.17,4.72,False,34.2157604955265,False,False,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,5,4,4,4,4,5,4,5
2020-11-02,True,male,Asian,2.83,4.2,False,34.2157604955265,False,False,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,4,2,2,2,2,4,3,3
2020-11-02,False,male,Black/African American,4.22,4.24,False,34.2157604955265,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,5,5,3,4,4,5,5,5
2020-11-17,False,male,Asian,4.06,4.26,False,34.2157604955265,False,False,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,3,4,4,4,4,4,4,5
2020-11-23,False,undisclosed,Asian,4.06,4.47,True,34.2157604955265,False,False,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,4,5,4,3,4,4,4
2020-11-23,False,male,Asian,4.22,4.08,False,34.2157604955265,False,False,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,5,4,4,5,4,5,4,4
2020-11-25,False,male,Other,4.39,3.82,False,34.2157604955265,False,False,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,5,5,5,4,5
2020-11-30,False,female,Asian,4.39,4.39,False,34.2157604955265,False,False,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,5,4,4,5,5,5,5,5
2020-12-14,False,male,Other,4.78,4.4,False,34.2157604955265,False,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,5,4,5,4,4,4,5
