title,link,reviewer,stars,gm,year,sentiment_sentiment_neg,sentiment_sentiment_neu,sentiment_sentiment_pos,sentiment_sentiment_compound,review_length
Ballad of Narayama,https://www.rogerebert.com/reviews/great-movie-the-ballad-of-narayama-1958,Roger Ebert,4.0,True,1958,0.078,0.828,0.094,0.9603,5116
Monsieur Hire,https://www.rogerebert.com/reviews/Monsieur-Hire,Roger Ebert,4.0,False,Hire,0.067,0.782,0.151,0.9989,6542
Veronika Voss,https://www.rogerebert.com/reviews/great-movie-veronika-voss-1982,Roger Ebert,4.0,True,1982,0.072,0.821,0.108,0.9934,7853
Spirit of the Beehive,https://www.rogerebert.com/reviews/great-movie-spirit-of-the-beehive-1973,Roger Ebert,4.0,True,1973,0.069,0.817,0.114,0.9936,5006
Mulholland Dr.,https://www.rogerebert.com/reviews/great-movie-mulholland-dr-2001,Roger Ebert,4.0,True,2001,0.09,0.798,0.112,0.9918,7332
The Life of Oharu,https://www.rogerebert.com/reviews/great-movie-the-life-of-oharu-1952,Roger Ebert,4.0,True,1952,0.089,0.774,0.136,0.9977,7800
Cléo from 5 to 7,https://www.rogerebert.com/reviews/great-movie-cleo-from-5-to-7-1962,Roger Ebert,4.0,True,1962,0.063,0.808,0.128,0.9985,7275
Spirited Away,https://www.rogerebert.com/reviews/great-movie-spirited-away-2002,Roger Ebert,4.0,True,2002,0.059,0.817,0.124,0.9987,8361
The Pledge,https://www.rogerebert.com/reviews/great-movie-the-pledge-2001,Roger Ebert,4.0,True,2001,0.118,0.783,0.1,-0.9886,8152
French Cancan,https://www.rogerebert.com/reviews/great-movie-french-cancan-1954,Roger Ebert,4.0,True,1954,0.056,0.753,0.191,0.9997,8089
La Collectionneuse,https://www.rogerebert.com/reviews/great-movie-la-collectionneuse-1967,Roger Ebert,4.0,True,1967,0.025,0.857,0.118,0.9992,6996
La Ceremonie,https://www.rogerebert.com/reviews/great-movie-la-ceremonie-1995,Roger Ebert,4.0,True,1995,0.147,0.745,0.108,-0.9971,7526
Diary of a Lost Girl,https://www.rogerebert.com/reviews/great-movie-diary-of-a-lost-girl-1929,Roger Ebert,4.0,True,1929,0.09,0.773,0.138,0.9977,6888
Harakiri,https://www.rogerebert.com/reviews/great-movie-harakiri-1962,Roger Ebert,4.0,True,1962,0.103,0.772,0.125,0.9848,7667
Smiles of a Summer Night,https://www.rogerebert.com/reviews/great-movie-smiles-of-a-summer-night-1955,Roger Ebert,4.0,True,1955,0.05,0.833,0.117,0.9986,8178
"Ivan the Terrible, Parts I & II",https://www.rogerebert.com/reviews/great-movie-ivan-the-terrible-parts-i-and-ii,Roger Ebert,4.0,True,ii,0.084,0.777,0.139,0.9973,7106
The Killing,https://www.rogerebert.com/reviews/great-movie-the-killing-1956,Roger Ebert,4.0,True,1956,0.059,0.82,0.12,0.9983,7287
The Man Who Shot Liberty Valance,https://www.rogerebert.com/reviews/great-movie-the-man-who-shot-liberty-valance-1962,Roger Ebert,4.0,True,1962,0.051,0.844,0.104,0.9976,7829
Contact,https://www.rogerebert.com/reviews/great-movie-contact-1997,Roger Ebert,4.0,True,1997,0.043,0.839,0.118,0.9984,7787
Departures,https://www.rogerebert.com/reviews/great-movie-departures-2009,Roger Ebert,4.0,True,2009,0.073,0.78,0.148,0.999,7429
A Man Escaped,https://www.rogerebert.com/reviews/great-movie-a-man-escaped-1956,Roger Ebert,4.0,True,1956,0.117,0.808,0.075,-0.9964,7367
Shadow of a Doubt,https://www.rogerebert.com/reviews/great-movie-shadow-of-a-doubt-1943,Roger Ebert,4.0,True,1943,0.121,0.778,0.101,-0.992,8533
Nosferatu the Vampyre,https://www.rogerebert.com/reviews/great-movie-nosferatu-the-vampyre-1979,Roger Ebert,4.0,True,1979,0.094,0.769,0.137,0.9973,7938
The Match Factory Girl,https://www.rogerebert.com/reviews/great-movie-the-match-factory-girl-1990,Roger Ebert,4.0,True,1990,0.091,0.793,0.115,0.9879,7835
Stagecoach,https://www.rogerebert.com/reviews/great-movie-stagecoach-1939,Roger Ebert,4.0,True,1939,0.065,0.818,0.117,0.998,9041
Seven,https://www.rogerebert.com/reviews/great-movie-seven-1995,Roger Ebert,4.0,True,1995,0.147,0.753,0.1,-0.9977,7447
A.I. Artificial Intelligence,https://www.rogerebert.com/reviews/great-movie-ai-artificial-intelligence-2001,Roger Ebert,4.0,True,2001,0.067,0.769,0.165,0.9997,10224
Badlands,https://www.rogerebert.com/reviews/great-movie-badlands-1973,Roger Ebert,4.0,True,1973,0.071,0.852,0.077,0.955,7736
An Autumn Afternoon,https://www.rogerebert.com/reviews/great-movie-an-autumn-afternoon-1962,Roger Ebert,4.0,True,1962,0.083,0.807,0.11,0.9947,7651
Pale Flower,https://www.rogerebert.com/reviews/great-movie-pale-flower-1964,Roger Ebert,4.0,True,1964,0.102,0.777,0.12,0.9852,7971
Diary of a Country Priest,https://www.rogerebert.com/reviews/great-movie-diary-of-a-country-priest-1951,Roger Ebert,4.0,True,1951,0.114,0.777,0.11,0.5338,7655
Heart of Glass,https://www.rogerebert.com/reviews/great-movie-heart-of-glass-1976,Roger Ebert,4.0,True,1976,0.099,0.822,0.079,-0.9801,7242
Senso,https://www.rogerebert.com/reviews/great-movie-senso-1954,Roger Ebert,4.0,True,1954,0.1,0.762,0.138,0.9954,7635
Shoah,https://www.rogerebert.com/reviews/great-movie-shoah-1985,Roger Ebert,4.0,True,1985,0.099,0.826,0.075,-0.9946,10186
Red Beard,https://www.rogerebert.com/reviews/great-movie-red-beard-1965,Roger Ebert,4.0,True,1965,0.103,0.789,0.108,0.4977,7922
Superman,https://www.rogerebert.com/reviews/great-movie-superman-1978,Roger Ebert,4.0,True,1978,0.095,0.807,0.099,0.901,8120
The Circus,https://www.rogerebert.com/reviews/great-movie-the-circus-1928,Roger Ebert,4.0,True,1928,0.101,0.728,0.171,0.999,7671
Lost in Translation,https://www.rogerebert.com/reviews/great-movie-lost-in-translation-2003,Roger Ebert,4.0,True,2003,0.079,0.807,0.114,0.9961,8011
Mystery Train,https://www.rogerebert.com/reviews/great-movie-mystery-train-1989,Roger Ebert,4.0,True,1989,0.084,0.822,0.094,0.9694,8423
The Only Son,https://www.rogerebert.com/reviews/great-movie-the-only-son-1936,Roger Ebert,4.0,True,1936,0.058,0.855,0.086,0.9906,7357
Come and See,https://www.rogerebert.com/reviews/great-movie-come-and-see-1985,Roger Ebert,4.0,True,1985,0.149,0.777,0.074,-0.9989,6967
Metropolis,https://www.rogerebert.com/reviews/great-movie-metropolis-2010-restoration-1927,Roger Ebert,4.0,True,1927,0.079,0.807,0.114,0.9934,7816
Viridiana,https://www.rogerebert.com/reviews/great-movie-viridiana-1961,Roger Ebert,4.0,True,1961,0.094,0.751,0.156,0.9984,7203
The Big Lebowski,https://www.rogerebert.com/reviews/great-movie-the-big-lebowski-1998,Roger Ebert,4.0,True,1998,0.069,0.848,0.083,0.9445,7879
Pink Floyd: The Wall,https://www.rogerebert.com/reviews/great-movie-pink-floyd-the-wall-1982,Roger Ebert,4.0,True,1982,0.174,0.733,0.093,-0.9989,7101
Make Way for Tomorrow,https://www.rogerebert.com/reviews/make-way-for-tomorrow-1937,Roger Ebert,4.0,False,1937,0.071,0.791,0.138,0.999,7642
The Hairdresser's Husband,https://www.rogerebert.com/reviews/the-hairdressers-husband-1990,Roger Ebert,4.0,False,1990,0.067,0.715,0.218,0.9998,7504
